"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c"
"a0qWE00000RmlAbYAJ","false","Test-DT-276-001","","","a0sWE000002Okq3YAC","false","false","false","false","","false","false","false","false","false","104.0","slide","true","false","false","false","","false","","","","MappedSObjectScreenResource","","1058012312398","LLC_BI__Review__c","",""
"a0qWE00000RmlDWYAZ","false","Collateral Valuation","","","a0sWE000002OkjVYAS","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42007170822167379","LLC_BI__Collateral__c","",""
"a0qWE00000RmhMXYAZ","false","Bulk Pledge Details","","","a0sWE000002OkIHYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42015509310499837","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000RmhMYYAZ","false","Bulk Pledge Details","","","a0sWE000002OkIIYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42016420999755116","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000RmhMZYAZ","false","Collateral Valuation","","","a0sWE000002OkIJYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42023798525149735","LLC_BI__Collateral__c","",""
"a0qWE00000RmhMaYAJ","false","Bulk Pledge Details","","","a0sWE000002OkIKYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42025930690024950","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000RmhMbYAJ","false","Collateral Valuation","","","a0sWE000002OkILYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42032468307765085","LLC_BI__Collateral__c","",""
"a0qWE00000RmhMcYAJ","false","Collateral Valuation","","","a0sWE000002OkIMYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42035442907826460","LLC_BI__Collateral__c","",""
"a0qWE00000RmhMdYAJ","false","Bulk Pledge Details","","","a0sWE000002OkINYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42046627643535532","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000RmhMeYAJ","false","Collateral Search Results","","","a0sWE000002OkIKYA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42050289151740779","LLC_BI__Collateral__c","",""
