"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a0sWE000002ZR0MYAW","005al00000RVcKvAAL","false","ReviewSubmitLoan","false","false","false","000008C4_2C2C_4944_8EBC_E365C3EC842C","","","",""
"a0sWE000002Yqi0YAC","005al00000RVcKvAAL","false","CRA Screen","false","false","true","01051619447514585","","","",""
"a0sWE000002YqhQYAS","005al00000RVcKvAAL","false","Borrowing Structure Information","false","false","true","02551560278745076","","","",""
"a0sWE000002YqPdYAK","005al00000RVcKvAAL","false","Underwriting Details","false","false","true","03471560278867077","","","",""
"a0sWE000002YqPfYAK","005al00000RVcKvAAL","false","Change Memo","false","false","true","04391620937671559","","","",""
"a0sWE000002YqgaYAC","005al00000RVcKvAAL","false","Product Summary","false","false","true","05641567002571747","","","",""
"a0sWE000002ZR0SYAW","005al00000RVcKvAAL","false","Underwriting Details1","false","false","true","06031640791247589","","","",""
"a0sWE000002ZR0YYAW","005al00000RVcKvAAL","false","Loan Team","false","false","true","06901640791247591","","","",""
"a0sWE000002YqfZYAS","005al00000RVcKvAAL","false","Editable Fields","false","false","true","07281585604340854","","","",""
"a0sWE000002YqhLYAS","005al00000RVcKvAAL","false","Risk Ratings","false","false","true","08891585604340856","","","",""
"a0sWE000002YqfyYAC","005al00000RVcKvAAL","false","Product Summary","false","false","true","09911567002550278","","","",""
"a0sWE000002YqPgYAK","005al00000RVcKvAAL","false","Narrative Booked","false","false","true","10941585604340854","","","",""
"a0sWE000002YqXsYAK","005al00000RVcKvAAL","false","Adverse Actions/Counter Offers","false","false","true","11031663700624864","","","",""
"a0sWE000002ZR0NYAW","005al00000RVcKvAAL","false","Adverse Actions","false","false","true","11381640791247587","","","",""
"a0sWE000002YqgnYAC","005al00000RVcKvAAL","false","Pricing Required Fields","false","false","true","11671619447514581","","","",""
"a0sWE000002YqgpYAC","005al00000RVcKvAAL","false","Draw History Screen","false","false","true","12061619447514587","","","",""
"a0sWE000002YqgVYAS","005al00000RVcKvAAL","false","HMDA Screen 1","false","false","true","12431619447514585","","","",""
