"Id","OwnerId","IsDeleted","Name","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c"
"a1WWE0000050F8A2AU","005al00000RVcKvAAL","false","LLC BI  Budget 001-3b8992","FE15428229","","Automated credit analysis and risk assessment parameters","true","false","477.34","684.61","431.24","417.56","354.75","27.21","415.89","42005505772755189","158.7538","96.8278","82.2628","6.3097","-107.5179","-58.7538","96.4405","-463.66","-253.37"
"a1WWE0000050F8s2AE","005al00000RVcKvAAL","false","a1WWD000002Vb0a","","a1WWE0000050F8i2AE","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013481852284536","","","","","","","","0.0","0.0"
"a1WWE0000050c5d2AA","005al00000RVcKvAAL","false","nov24","","","this is a description from me","true","false","0.0","4532.0","213.0","0.0","0.0","0.0","0.0","42015382099793331","2127.6995","0.0","0.0","0.0","100.0","-2027.6995","0.0","213.0","-4319.0"
"a1WWE000004zHT42AM","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42021036359002676","","","","","","","","0.0","0.0"
"a1WWE0000050c5e2AA","005al00000RVcKvAAL","false","RS budget 65","","","","true","false","0.0","634.0","0.0","763.0","0.0","0.0","0.0","42024469346205912","","","","","","","","-763.0","-634.0"
"a1WWE0000050F9c2AE","005al00000RVcKvAAL","false","a1WWD000002VhFi","","a1WWE0000050F9S2AU","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42026726401074624","","","","","","","","0.0","0.0"
"a1WWE0000050c612AA","005al00000RVcKvAAL","false","Budgets-05","","","Updated","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42041988819572484","","","","","","","","0.0","0.0"
"a1WWE0000050F8H2AU","005al00000RVcKvAAL","false","LLC BI  Budget 008-248f83","RQ82991954","","Approval routing and delegation authority configuration","true","false","414.65","757.77","945.99","493.76","54.85","339.25","848.86","42051585902899248","80.1034","52.1951","5.7982","35.8619","3.9726","19.8966","89.7324","37.58","188.22"
"a1WWE0000050F9T2AU","005al00000RVcKvAAL","false","a1WWD000002VhE7","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42052679731092714","","","","","","","","0.0","0.0"
"a1WWE000004zHTc2AM","005al00000RVcKvAAL","false","NcinoRecord-01","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42056301407591363","","","","","","","","0.0","0.0"
"a1WWE0000050F832AE","005al00000RVcKvAAL","false","LLC BI  Budget 004-37032e","NR04515366","","Document collection and verification workflow settings","true","false","737.15","0.0","687.96","166.0","0.0","0.0","0.0","42058164946591045","0.0","24.1293","0.0","0.0","-31.2794","100.0","0.0","-215.19","687.96"
"a1WWE0000050F8J2AU","005al00000RVcKvAAL","false","LLC BI  Budget 010-b54e75","CU38774194","","Document collection and verification workflow settings","true","true","431.45","601.39","703.57","250.43","809.87","663.9","877.22","42060931192168149","85.4769","35.5942","115.1087","94.3616","3.0828","14.5231","124.6813","21.69","102.18"
