"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9kK3YAJ","false","SC-000023077","a0qWD00000GT9OMYA1","1.01","LLC_BI__UI_Loan_Information","","","","false","","","","","false","000010C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9kK4YAJ","false","SC-000023078","a0qWD00000GT9ONYA1","1.01","","","","","false","","","","","false","000012C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9lLjYAJ","false","SC-000026908","a0qWD00000GT9ONYA1","2.02","LLC_BI__UI_Entity_Involvement_Fieldset","","","","false","a0vWD00000B9kK4YAJ","LLC_BI__Legal_Entities__r","","","false","000013C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Legal_Entities__c"
"a0vWD00000B9kK5YAJ","false","SC-000023079","a0qWD00000GT9OOYA1","1.01","","","","","false","","","","","false","000015C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9iLXYAZ","false","SC-000020446","a0qWD00000GSgSCYA1","1.01","","","a0bWD0000011L56YAE","0.0","false","","","","","false","00001602764632534","LLC_BI__Loan__c"
"a0vWD00000B9lLkYAJ","false","SC-000026909","a0qWD00000GT9OOYA1","2.02","LLC_BI__Manage_Fees","","","","false","a0vWD00000B9kK5YAJ","LLC_BI__Fees__r","","","false","000016C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Fee__c"
"a0vWD00000B9kK6YAJ","false","SC-000023080","a0qWD00000GT9OPYA1","1.01","","","","","false","","","","","false","000018C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9lLlYAJ","false","SC-000026910","a0qWD00000GT9OPYA1","2.02","ATBK__LoanCollateral2_ReviewSubmit","","","","false","a0vWD00000B9kK6YAJ","LLC_BI__Loan_Collateral__r","","","false","000019C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kK7YAJ","false","SC-000023081","a0qWD00000GT9OQYA1","1.01","","","","","false","","","","","false","000021C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9lLmYAJ","false","SC-000026911","a0qWD00000GT9OQYA1","2.02","ATBK__LoanCovenant_ReviewSubmit","","","","false","a0vWD00000B9kK7YAJ","LLC_BI__Loan_Covenants__r","","","false","000022C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan_Covenant__c"
"a0vWD00000B9kK8YAJ","false","SC-000023082","a0qWD00000GT9ORYA1","1.01","","","","","false","","","","","false","000024C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9lLnYAJ","false","SC-000026912","a0qWD00000GT9ORYA1","2.02","LLC_BI__UI_Loan_Team_Members","","","","false","a0vWD00000B9kK8YAJ","LLC_BI__Loan_Teams__r","","","false","000025C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__LoanTeam__c"
"a0vWD00000B9kK9YAJ","false","SC-000023083","a0qWD00000GT9OSYA1","1.01","LLC_BI__UI_Loan_Pricing_Information","","","","false","","","","","false","000027C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWD00000B9kKAYAZ","false","SC-000023084","a0qWD00000GT9OTYA1","1.01","ATBK__Deposit_ReviewSubmit","","","","false","","","","","false","000031C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c"
"a0vWD00000B9kKBYAZ","false","SC-000023085","a0qWD00000GT9OUYA1","1.01","","","","","false","","","","","false","000033C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c"
"a0vWD00000B9lLoYAJ","false","SC-000026913","a0qWD00000GT9OUYA1","2.02","LLC_BI__UI_Entity_Involvement_Fieldset","","","","false","a0vWD00000B9kKBYAZ","LLC_BI__Legal_Entities__r","","","false","000034C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Legal_Entities__c"
"a0vWD00000B9kKCYAZ","false","SC-000023086","a0qWD00000GT9OVYA1","1.01","","","","","false","","","","","false","000036C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c"
"a0vWD00000B9lLpYAJ","false","SC-000026914","a0qWD00000GT9OVYA1","2.02","ATBK__AnalyzedAccount_ReviewSubmit","","","","false","a0vWD00000B9kKCYAZ","LLC_BI__Analyzed_Accounts__r","","","false","000037C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Analyzed_Account__c"
