"Id","OwnerId","IsDeleted","Name","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WD000001k07hYAA","005al00000RVcKvAAL","false","nSight Financial","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WD000002808DYAQ","005al00000RVcKvAAL","false","First National Bank","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WD000002808EYAQ","005al00000RVcKvAAL","false","Heritage Credit Union","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WD000002808BYAQ","005al00000RVcKvAAL","false","Midwest Savings Bank","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WD000002808CYAQ","005al00000RVcKvAAL","false","Pacific Coast Financial","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WD000002808AYAQ","005al00000RVcKvAAL","false","Summit Federal Bank","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WD000002808LYAQ","005al00000RVcKvAAL","false","First National Bank","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WD000002808MYAQ","005al00000RVcKvAAL","false","Heritage Credit Union","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WD000002808IYAQ","005al00000RVcKvAAL","false","First National Bank","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
"a31WD000002808JYAQ","005al00000RVcKvAAL","false","Heritage Credit Union","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access",""
"a31WD000002808GYAQ","005al00000RVcKvAAL","false","Summit Commercial Lending","/commercial","Summit Commercial Portal","0DB5x000003GHI","INST_003","INST_003","LLC_BI__Commercial_Lender",""
"a31WD000002808HYAQ","005al00000RVcKvAAL","false","Heritage Mortgage Corp","/mortgage","Heritage Mortgage Center","0DB5x000004JKL","INST_004","INST_004","LLC_BI__Mortgage_Originator",""
"a31WD000002808FYAQ","005al00000RVcKvAAL","false","Westlake Trust & Wealth","/westlake","Westlake Wealth Community","0DB5f000000HIJKL","INST_005","WESTLAKE_TRUST_05","Westlake_Wealth_Advisor",""
"a31WD000002808KYAQ","005al00000RVcKvAAL","false","Pacific Trust Credit Union","/pacifictrust","Pacific Trust Portal","0DB5x000000EFGH","INST_PTC02","INST_PTC02","LLC_BI__Partner_Institution_Access",""
