"Id","OwnerId","IsDeleted","Name","nFORCE__Data__c","nFORCE__Icon__c","nFORCE__Parameters__c","nFORCE__Script_Resource_Eight__c","nFORCE__Script_Resource_Eleven__c","nFORCE__Script_Resource_Fifteen__c","nFORCE__Script_Resource_Five__c","nFORCE__Script_Resource_Four__c","nFORCE__Script_Resource_Fourteen__c","nFORCE__Script_Resource_Nine__c","nFORCE__Script_Resource_One__c","nFORCE__Script_Resource_Seven__c","nFORCE__Script_Resource_Six__c","nFORCE__Script_Resource_Ten__c","nFORCE__Script_Resource_Thirteen__c","nFORCE__Script_Resource_Three__c","nFORCE__Script_Resource_Twelve__c","nFORCE__Script_Resource_Two__c","nFORCE__Stylesheet_Resource_Eight__c","nFORCE__Stylesheet_Resource_Five__c","nFORCE__Stylesheet_Resource_Four__c","nFORCE__Stylesheet_Resource_Nine__c","nFORCE__Stylesheet_Resource_One__c","nFORCE__Stylesheet_Resource_Seven__c","nFORCE__Stylesheet_Resource_Six__c","nFORCE__Stylesheet_Resource_Ten__c","nFORCE__Stylesheet_Resource_Three__c","nFORCE__Stylesheet_Resource_Two__c","nFORCE__Type__c","nFORCE__View__c","nFORCE__lookupKey__c","nFORCE__Is_Angular__c","nFORCE__Is_Knockout__c","nFORCE__Is_Narrative__c"
"a17WD0000Bg8A3wYQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","","","","","055120a2-f548-5ae8","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A3xYQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","maxSize: 12000000;","","","","0d8ee231-f7eb-2419","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A3yYQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","maxSize: 12000000;","","","","2d986ad8-4e75-426a","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A3zYQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","","","","","2db97083-5979-52f0","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A40YQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","","","","","3139d331-df5e-1f23","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A41YQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","maxSize: 12000000;","","","","36c52d4b-5403-7f48","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A42YQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","","","","","37391c6e-97cb-dd93","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A43YQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","","","","","42002843884588777","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A45YQE","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","true","","","","","42006209519826352","","false","nFORCE__ko_narrative_app","","","","nFORCE__ko_narrative_viewModel","nFORCE__screen_models","","","","","","","","","","",""
"a17WD0000Bg8A47YQE","005al00000RVcKvAAL","false","LifeCycle.Rate_Structure_Summary","","","","","","","","","","","Knockout","","true","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","false","debug:true;group:loan;route:rate-structure","","","","42009393807440554","","false","LLC_BI__rate_structure_summary_app","","","","nFORCE__screen_models","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","",""
